index_id,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
3322,197.0801209,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,4,40,2,2.546130232,0.655237623,67.023612,2.525298123,99.35048757,1.483694169,23.73358,37.99845,,
3323,187.9408525,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,95,1,2.999463568,0.444298429,53.45461785,2.01404911,79.46675793,1.186751754,23.765,37.989,,
3324,109.2025402,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,2,3.113966721,0.446699915,55.42862261,2.088425145,81.60455543,1.218677492,23.72982,38.00326,,
3325,127.481077,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,100,1,1.929251171,0.862438971,78.94946871,2.974637433,111.3055439,1.662230256,23.74819,37.98968,,
3326,159.8200267,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,10,97,2,1.796637234,0.442415133,101.9423867,3.840958583,163.1331527,2.436220629,23.724,37.989,,
3327,99.59459143,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,10,100,2,1.847848485,0.268192774,101.0546747,3.807511602,168.3104549,2.513538148,23.72165,37.98816,,
3328,126.309376,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,8,100,1,2.938700214,0.539027447,76.89763475,2.897328969,106.754972,1.594272291,23.703,37.969,,
3329,91.62702411,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,93,1,1.885991621,0.419927238,97.24439921,3.663949039,144.1065381,2.152078318,23.72652,37.99103,,
3330,69.59904389,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,100,1,2.692007495,1.511062579,59.36767673,2.236839796,85.7392258,1.280424409,23.747,37.998,,
3331,287.535444,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,100,3,2.141748984,0.540014326,114.4496061,4.312202325,165.4721706,2.471151382,23.71114,37.97367,,
3332,69.59904389,Entire home/apt,FALSE,FALSE,3,FALSE,1,0,10,95,1,5.131133265,0.312359112,33.8451577,1.275209,49.48204598,0.73896188,23.7289,38.02149,,
3333,150.6807583,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,90,2,2.056959432,0.323401689,88.61861163,3.338948871,135.573146,2.024641157,23.72419,37.99183,,
3334,62.80317765,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,98,1,2.148843527,0.565150364,94.03090893,3.542871993,153.0973064,2.286345909,23.71457,37.98571,,
3335,123.9659738,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,57,1,5.270872994,0.110855365,32.61719109,1.228941995,48.49298014,0.724191231,23.73689,38.02302,,
3336,301.3615166,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,100,3,2.382800503,0.117893248,101.9278818,3.840412071,141.1947888,2.10859443,23.70937,37.96954,,
3337,151.1494388,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,8,60,2,2.789202958,0.73706825,61.73801231,2.32614868,91.01790269,1.359255851,23.73107,38.00045,,
